,면적,반려동물 가구밀도,폐사안락사 비율(폐사안락사 수/면적),보호소 밀도,동물병원약국개수,동물병원약국 밀도,target
51,1.19,690.9352941,0.0,0.0,6,7.792207792,0
52,3.27,435.5088685,1.834862385321101,0.3058103975535168,1,0.8403361345,0
53,12.68,112.8378549,0.0,0.0,7,2.140672783,0
54,1.58,1876.03038,1.89873417721519,0.6329113924050632,6,0.4731861199,0
55,0.64,2006.807813,12.5,1.5625,5,3.164556962,0
56,1.79,1623.142458,0.0,0.0,4,6.25,0
57,1.25,2101.8224,0.0,0.0,10,5.586592179,0
58,1.47,1467.282993,0.0,0.0,23,18.4,0
59,1.1,1186.821818,12.72727272727273,0.9090909090909091,23,15.6462585,0
60,0.81,2256.279012,46.91358024691358,1.234567901234568,5,4.545454545,0
61,0.85,2185.232941,44.70588235294118,1.176470588235294,3,5.882352941,0
62,0.75,2789.013333,0.0,0.0,6,7.407407407,0
63,1.55,2377.135484,0.0,0.0,7,8.235294118,0
64,0.49,2842.489796,0.0,0.0,4,5.333333333,0
65,0.55,2426.4,0.0,0.0,14,9.032258065,0
66,0.95,2202.315789,0.0,0.0,5,10.20408163,0
67,1.55,2187.729677,5.161290322580645,0.6451612903225806,4,7.272727273,0
68,0.85,2788.058824,0.0,0.0,4,4.210526316,0
69,0.79,1892.410127,0.0,0.0,6,3.870967742,0
70,2.0,1281.004,0.0,0.0,16,18.82352941,0
71,0.73,2707.832877,0.0,0.0,10,12.65822785,0
72,8.3,282.18,1.927710843373494,0.1204819277108434,10,5.0,0
73,0.87,1817.627586,22.98850574712644,1.149425287356322,10,13.69863014,1
74,1.02,1632.694118,0.0,0.0,12,1.445783133,0
75,1.02,2260.217647,0.0,0.0,5,5.747126437,0
76,0.89,2094.696629,0.0,0.0,11,10.78431373,0
77,8.72,212.7076835,2.064220183486238,0.1146788990825688,12,11.76470588,0
78,0.83,2673.73012,18.07228915662651,1.204819277108434,2,2.247191011,0
79,0.62,2949.445161,32.25806451612903,1.612903225806452,5,0.5733944954,0
80,2.09,1686.454067,0.0,0.0,4,4.819277108,0
81,0.6,2508.386667,0.0,0.0,9,14.51612903,0
82,0.92,2154.031522,0.0,0.0,6,2.870813397,0
83,0.59,2080.647458,0.0,0.0,6,10.0,0
84,0.49,2050.579592,6.122448979591836,2.040816326530612,6,6.52173913,0
85,0.48,2923.339583,16.66666666666667,2.083333333333333,6,10.16949153,1
86,0.73,2045.90274,35.61643835616439,1.36986301369863,1,2.040816327,0
87,0.92,2.713043478,6.521739130434782,1.08695652173913,1,2.083333333,0
88,0.98,1947.428571,4.081632653061225,1.020408163265306,11,15.06849315,0
89,0.64,3811.6125,0.0,0.0,4,15.38461538,0
